,Category,Description,label
13,"[33, 75]","[50, 9, 2, 116, 101, 8, 6, 655, 379, 1001, 73, 26, 17, 228, 132, 3, 76, 540, 116, 101, 20, 9, 1, 25, 13, 1, 125, 4, 991, 295, 9, 1, 76, 13, 1, 125, 3, 4, 53, 13, 1, 510, 295, 9, 1, 98, 132, 13, 1, 125, 289, 9, 1, 564, 379, 22, 2, 140, 116, 101, 45]",1.0
14,"[33, 75]","[313, 401, 418, 187, 320, 1, 224, 596, 8, 157, 226, 488, 10, 47, 398, 2, 99, 11, 950, 49, 1, 808, 9, 1, 435, 8, 6, 1051, 30, 153, 73, 102, 711, 419, 26, 17, 4, 928, 27, 518, 104, 9, 1, 125, 882, 36, 147, 297, 137, 165, 66, 827, 2, 41, 15, 9, 136, 1, 785, 181, 866, 1, 65, 70, 54, 174, 9, 518]",1.0
15,"[33, 75]","[313, 401, 142, 522, 1, 141, 494, 74, 727, 328, 51, 43, 2, 491, 41, 6, 132, 897, 1124, 1107, 73, 102, 69, 402, 15, 486, 5, 4, 175, 491, 18, 9, 1, 25, 3, 4, 141, 494, 939, 295, 9, 1, 132, 26, 94, 17, 4, 508, 70, 31, 27, 1075, 568, 22, 1, 76, 3, 201, 160, 147, 297, 463, 10, 590, 7, 859, 2, 106, 945, 22, 4, 45, 120, 320, 26, 22, 311, 110, 58, 643, 972, 1012, 282, 133, 1, 165, 7, 673, 196]",1.0
16,"[33, 75]","[10, 410, 839, 2, 183, 926, 12, 45, 106, 147, 10, 226, 69, 115, 725, 157, 572, 10, 85, 5, 6, 891, 759, 637, 24, 69, 402, 10, 47, 53, 43, 349, 86, 5, 2, 374, 48, 6, 956, 1024, 73, 59, 31, 27, 183, 18, 9, 1, 125, 3, 76, 12, 113, 3, 68, 11, 63, 900, 164, 593, 594, 319, 734, 1110, 164, 319, 312, 319, 1128, 127, 44, 696]",1.0
17,"[33, 75]","[34, 2, 32, 1113, 438, 1014, 93, 5, 6, 492, 832, 1097, 24, 53, 13, 1, 510]",1.0
18,"[33, 75]","[10, 296, 109, 4, 106, 718, 472, 2, 99, 11, 3, 313, 147, 418, 165, 7, 136, 2, 825, 262, 41, 187, 214, 118, 664, 631, 477, 10, 109, 226, 6, 938, 153, 73, 12, 4, 175, 51, 13, 262, 966, 5, 4, 578, 18, 27, 9, 1, 125, 4, 508, 70, 3, 4, 830, 181, 22, 1, 76, 6, 153, 73, 15, 88, 7, 186, 4, 32, 262, 952, 7, 157, 251]",1.0
19,"[33, 75]","[51, 139, 12, 2, 595, 5, 1, 671, 786, 153, 73, 102, 1, 45, 26, 17, 445, 27, 330, 3, 11, 92, 20, 74, 219, 1077, 137, 330, 66, 472]",1.0
20,"[72, 19, 14, 67]","[575, 10, 44, 1, 749, 46, 13, 1, 337, 371, 310, 8, 16, 968, 95, 16, 161, 95, 130, 337, 371, 310, 1002, 9, 1059, 554, 3, 4, 11, 18, 9, 1, 76, 94, 325, 5, 161, 1095, 156, 77, 21, 34, 10, 68, 3, 343, 246, 66, 174, 9, 2, 337, 371, 310, 120, 712, 30, 1, 433]",1.0
21,"[72, 19, 14, 67]","[10, 109, 133, 49, 7, 40, 30, 12, 169, 45, 106, 61, 88, 2, 11, 48, 918, 7, 157, 723, 13, 33, 5, 16, 689, 399, 516, 77, 130, 4, 397, 169, 18, 56, 9, 1, 25, 506, 629, 3, 173, 1048, 22, 1, 348, 16, 516, 21, 61, 88, 10, 44, 35, 365, 35, 10, 47, 58, 8, 211, 48]",1.0
22,"[72, 19, 14, 67]","[29, 2, 116, 101, 28, 5, 6, 454, 9, 433, 93, 30, 42, 24, 100, 16, 71, 42, 21, 34, 10, 113, 246, 66, 856, 688, 120, 1044, 385, 698, 5, 162, 341, 131, 156, 3, 152, 107, 26, 94, 59, 4, 56, 116, 101, 104, 9, 1, 134, 3, 155, 25, 145, 74, 10, 47, 34, 68, 54, 84, 43, 2, 11, 41]",1.0
23,"[72, 19, 14, 67]","[531, 699, 389, 1049, 429, 8, 215, 389, 429, 5, 794, 485, 739, 17, 919, 393, 124, 134, 1150, 5, 811, 3, 233, 181, 235, 436, 15, 770, 103, 865, 1119, 3, 514, 1088, 123, 15, 221, 103, 927, 5, 531, 879, 89, 775, 122, 964, 38]",1.0
24,"[72, 19, 14, 67]","[29, 2, 116, 101, 28, 5, 960, 534, 24, 100, 140, 366, 66, 49, 9, 1, 1084, 30, 2, 45, 3, 72, 2, 801, 8, 63, 54, 84, 4, 32, 139, 12, 2, 116, 101, 5, 6, 845, 898, 520, 769, 1030, 5, 543, 597, 537, 1022, 156, 7, 34, 10, 68, 343, 3, 22, 967, 22, 2, 207, 6, 248, 3, 940, 534, 15, 526, 12, 1090, 426, 963, 3, 241, 3, 526, 5, 1104, 116, 101, 20, 3, 421, 888, 160, 36, 110, 14, 5, 41, 3, 931]",1.0
25,"[72, 19, 14, 67]","[1147, 976, 663, 5, 901, 27, 132, 540]",1.0
26,"[72, 19, 14, 67]","[1, 992, 914, 124, 599, 451, 475, 241, 902, 638, 61, 6, 862, 780, 124, 988, 113, 8, 517, 4, 923, 124, 36, 420, 10, 993, 35, 10, 747]",1.0
27,"[72, 19, 14, 67]","[50, 9, 2, 305, 55, 336, 5, 16, 873, 95, 24, 100, 65, 12, 1040, 1, 351, 120, 159, 1034, 385, 22, 311, 16, 248, 95, 44, 4, 287, 165, 7, 51, 43, 118, 13, 36, 448, 305, 55, 336, 11, 41, 325, 5, 543, 843, 537, 156, 7, 34, 10, 68, 3, 343, 969, 1, 409, 783, 706, 16, 95, 44, 445, 486, 5, 962, 305, 55, 336, 20, 3, 175, 143, 12, 4, 522, 86]",1.0
28,"[72, 19, 14, 67]","[168, 2, 32, 46, 29, 112, 315, 283, 28, 5, 16, 46, 520, 899, 272, 77, 119, 56, 315, 283, 20, 9, 1, 98, 134, 77, 94, 509, 325, 5, 155, 132, 145, 3, 4, 117, 62, 123, 7, 34, 2, 32, 39, 149, 16, 173, 272, 44, 65, 12, 2, 490, 140, 315, 283, 45, 106]",1.0
29,"[72, 19, 14, 67]","[29, 2, 527, 265, 28, 5, 16, 1020, 18, 864, 62, 42, 289, 2, 11, 48, 7, 1, 45, 151, 10, 14, 16, 527, 265, 272, 1138, 539, 4, 56, 11, 18, 9, 1, 98, 134, 3, 31, 152, 348, 5, 4, 281, 181]",1.0
30,[81],"[29, 2, 191, 177, 28, 5, 16, 209, 111, 533, 82, 16, 82, 44, 428, 12, 214, 151, 66, 49, 84, 43, 2, 538, 12, 1, 191, 177, 16, 82, 44, 1, 65, 460, 7, 2, 178, 5, 209, 111, 3, 208, 191, 177, 20, 10, 47, 51, 2, 11, 41, 24, 218, 7, 273]",1.0
31,[81],"[338, 138, 202, 131, 194, 8, 260, 238, 279, 6, 53, 21, 378, 142, 4, 286, 368, 853, 507, 8, 25, 138, 15, 24, 317, 363, 3, 357, 36, 15, 353, 367, 324, 187, 103, 5, 291, 170, 339, 252, 350, 1, 360, 352, 247, 382, 259, 356, 364]",1.0
32,[81],"[818, 2, 32, 39, 7, 933, 8, 2, 191, 177, 690, 110, 58, 713, 7, 61, 88, 77, 489, 227, 207, 579, 1054, 24, 1, 1009, 667, 5, 16, 163, 11, 18, 82, 16, 191, 82, 130, 1, 11, 92, 3, 18, 208, 8, 11, 143, 10, 47, 800, 2, 188, 442, 8, 1, 422, 737, 102, 708, 504, 7, 50, 12, 1, 177, 5, 16, 82]",1.0
33,[81],"[51, 43, 2, 1035, 63, 8, 16, 633, 816, 373, 16, 68, 623, 824, 10, 560, 1, 678]",1.0
34,[81],"[29, 2, 52, 80, 28, 5, 16, 209, 111, 533, 82, 16, 82, 44, 428, 12, 214, 151, 66, 49, 84, 43, 2, 538, 12, 1, 52, 80, 16, 82, 44, 1, 65, 460, 7, 2, 178, 5, 209, 111, 3, 208, 52, 80, 20, 10, 47, 51, 2, 11, 41, 24, 218, 7, 273]",1.0
35,[81],"[168, 2, 32, 323, 762, 46, 417, 227, 831, 1015, 1003, 758, 4, 1000, 46, 12, 1093, 5, 16, 173, 163, 82, 77, 130, 208, 11, 18, 20, 35, 271, 35, 195, 180, 273, 3, 126]",1.0
36,[81],"[6, 63, 15, 4, 220, 53, 3, 1153, 328, 586, 4, 439, 12, 4, 37, 23, 561, 592, 67, 7, 61, 4, 23, 430, 217, 117, 407, 121, 391, 5, 461, 413, 362, 536, 257, 37, 458, 197, 511, 220, 53, 5, 763, 348, 3, 153, 132, 203, 300, 476, 511, 220, 53, 300, 476, 104, 133, 250, 275, 127, 256, 70, 30, 7, 4, 381, 121, 127, 269, 70, 30, 7, 4, 314, 121, 220, 53, 164, 230, 7, 355, 406, 525, 312, 229]",1.0
37,[81],"[657, 217, 117, 407, 121, 391, 5, 413, 362, 461, 1067, 257, 37, 458, 197, 809, 203, 377, 400, 362, 107, 5, 634, 479, 203, 300, 3, 990, 1092, 721, 517, 5, 1130, 37, 766, 127, 256, 70, 30, 7, 4, 381, 121, 127, 269, 70, 30, 7, 4, 314, 121, 456, 844, 164, 230, 7, 355, 406, 525, 312, 229]",1.0
38,[81],"[934, 495, 217, 807, 495, 236, 377, 400, 626, 462, 553, 574, 498, 30, 1087, 909, 54, 745, 814, 3, 735, 104, 133, 250, 275, 127, 256, 70, 30, 7, 4, 381, 121, 127, 269, 70, 30, 7, 4, 314, 121, 498, 30, 164, 230, 7, 355, 501, 258, 434, 229]",1.0
39,[81],"[16, 693, 103, 878, 609, 789, 44, 31, 616, 13, 167, 386, 624, 31, 653, 36, 1137, 257, 971, 1005, 8, 604, 782, 598, 577, 3, 111, 36, 109, 5, 565]",1.0
40,[91],"[304, 186, 118, 340, 984, 48, 7, 2, 726, 1118, 5, 16, 840, 372, 42]",1.0
41,[91],"[114, 2, 188, 46, 50, 9, 112, 278, 299, 274, 8, 16, 128, 231, 6, 684, 23, 432, 8, 11, 143, 3, 17, 175, 278, 299, 274, 20, 9, 1, 60, 2, 188, 46, 21, 58, 695, 7, 14, 16, 3, 119, 192, 239, 13, 1, 278, 299, 274, 1091, 359]",1.0
42,[91],"[29, 2, 179, 55, 185, 28, 8, 848, 151, 10, 14, 6, 1060, 447, 392, 184, 78, 1, 416, 179, 55, 185, 20, 9, 6, 184, 78, 21, 408, 10, 316, 192, 239, 13, 359, 3, 791, 503, 333, 4, 835, 987, 316, 1072, 102, 895, 8, 6, 179, 55, 185, 78, 157, 184, 12, 1121, 379, 3, 197, 13, 2, 11]",1.0
43,[91],"[114, 2, 188, 39, 29, 112, 176, 222, 182, 28, 5, 6, 915, 171, 6, 149, 171, 17, 31, 27, 176, 222, 182, 18, 9, 1, 98, 60, 3, 195, 180, 57, 329, 26, 94, 59, 4, 37, 1045, 233, 3, 4, 892, 292, 465, 74, 216, 47, 635, 8, 3, 49, 13, 6, 171, 778, 74, 886, 39, 13, 10, 21, 119, 7, 440, 4, 810, 13, 1, 176, 222, 182, 298]",1.0
44,[91],"[29, 2, 199, 245, 28, 5, 6, 1074, 231, 150, 23, 246, 10, 44, 1050, 651, 302, 13, 443, 424, 120, 174, 9, 2, 11, 24, 1, 241, 13, 2, 675, 6, 150, 23, 21, 34, 10, 113, 3, 51, 2, 199, 245, 48, 1, 1043, 78, 17, 874, 275, 20, 7, 51, 2, 199, 245, 41, 1, 117, 462, 499, 42, 585, 5, 27, 199, 245, 20, 1, 281, 107, 9, 16, 42, 996, 10, 242, 1, 65, 70, 157, 366]",1.0
45,[91],"[542, 2, 863, 39, 7, 885, 47, 58, 1042, 4, 740, 628, 437, 216, 276, 118, 176, 1083, 646, 216, 883, 58, 170, 551, 7, 150, 936, 1098, 333, 1013, 13, 182, 1070, 459, 457, 184, 7, 2, 32, 39, 35, 216, 1115, 30, 8, 6, 176, 222, 62, 423, 171, 26, 17, 4, 141, 117, 62, 470, 5, 4, 18, 27, 9, 1, 98, 60, 3, 201, 160, 162, 1, 65, 23, 13, 231, 513, 85, 2, 290, 108, 12, 112, 253, 35, 4, 374, 182, 46]",1.0
46,[91],"[110, 139, 6, 1131, 1027, 150, 237, 5, 1036, 437, 66, 4, 46, 13, 6, 757, 71, 1058, 190, 276, 26, 133, 970, 1134, 31, 1094, 930, 3, 4, 887, 932, 103, 232]",1.0
47,[91],"[1, 207, 165, 7, 109, 7, 150, 15, 5, 1, 802, 215, 172, 9, 2, 890, 61, 88, 2, 32, 46, 59, 192, 239, 13, 1, 215, 172, 414, 8, 16, 163, 18, 493, 372, 42, 16, 141, 117, 113, 42, 130, 163, 1151, 20, 74, 2, 941, 47, 109, 7, 150, 8, 63, 114, 529, 375, 30, 441, 174, 541, 10, 22, 1, 140, 45]",1.0
48,[91],"[459, 457, 184, 7, 2, 32, 39, 35, 77, 860, 30, 8, 416, 11, 143, 5, 6, 650, 62, 423, 171, 144, 4, 141, 117, 62, 470, 5, 31, 163, 330, 92, 11, 92, 3, 11, 18, 411, 162, 1, 65, 23, 13, 231, 513, 85, 2, 290, 108, 12, 227, 253, 35, 4, 374, 101, 46]",1.0
49,[91],"[61, 88, 2, 32, 46, 59, 192, 239, 13, 265, 1053, 414, 8, 16, 11, 18, 493, 372, 42, 16, 141, 117, 113, 42, 130, 163, 11, 92, 3, 18, 20, 74, 77, 47, 375, 30, 441, 174, 541, 10, 22, 1, 140, 803, 45]",1.0
50,"[37, 19, 14]","[6, 937, 602, 642, 847, 40, 102, 632, 17, 4, 173, 787, 679, 1026, 411, 4, 547, 377, 203, 4, 555, 135, 3, 1141, 268, 5, 872, 754, 12, 31, 1143, 548, 86, 5, 4, 1112]",1.0
51,"[37, 19, 14]","[2, 333, 40, 59, 852, 6, 57, 129, 40, 17, 31, 784, 464, 506, 131, 3, 4, 236, 270, 1055, 1, 854, 166, 3, 703, 288, 107, 61, 6, 86, 4, 1071, 119, 12, 1, 65, 129, 86, 1, 519, 452, 954, 135, 61, 6, 129, 40, 982, 4, 446, 13, 1038, 303, 1116, 3, 1140, 985, 126, 582, 43, 6, 238, 1099, 86, 370, 15, 280]",1.0
52,"[37, 19, 14]","[114, 2, 188, 39, 390, 4, 1102, 3, 29, 112, 301, 354, 28, 5, 6, 645, 38, 3, 124, 23, 6, 71, 23, 17, 4, 56, 301, 354, 92, 3, 18, 9, 1, 25, 13, 1, 78, 35, 271, 35, 11, 20, 254, 1, 98, 134, 26, 94, 59, 111, 9, 1, 329, 4, 405, 255, 3, 31, 152, 107, 36, 21, 34, 10, 113, 54, 84, 43, 112, 301, 354, 41, 133, 106, 57]",1.0
53,"[37, 19, 14]","[61, 88, 2, 32, 39, 15, 524, 49, 24, 218, 7, 717, 7, 50, 9, 1, 321, 334, 346, 5, 6, 64, 3, 124, 23, 6, 904, 23, 24, 100, 17, 4, 64, 42, 3, 4, 38, 8, 11, 143, 5, 321, 334, 346, 20, 528, 681, 15, 108, 7, 168, 408, 2, 911, 46, 316, 1109, 981, 5, 321, 334, 346, 435, 777, 155, 719, 503, 3, 359]",1.0
54,"[37, 19, 14]","[404, 1025, 404, 1008]",1.0
55,"[37, 19, 14]","[6, 415, 129, 40, 15, 450, 521, 10, 119, 469, 302, 13, 6, 57, 129, 40, 17, 4, 236, 166, 5, 4, 270, 306, 3, 369, 505, 318, 1, 40, 59, 482, 22, 1, 25, 166, 3, 1, 76, 36, 44, 365, 5, 4, 228, 288, 225, 1, 37, 285, 15, 396, 468, 6, 40, 15, 530, 12, 4, 303, 500, 473, 370, 15, 280, 10, 47, 242, 6, 425, 8, 1, 484, 13, 167, 478]",1.0
56,"[37, 19, 14]","[221, 103, 123, 221, 103, 1117, 56, 1018, 5, 731, 618, 1108, 152, 536, 3, 648, 22, 76]",1.0
57,"[37, 19, 14]","[246, 2, 32, 240, 46, 15, 583, 112, 880, 120, 607, 2, 490, 45, 106, 753, 10, 47, 61, 88, 834, 781, 30, 8, 212, 41, 5, 6, 497, 467, 56, 871, 26, 17, 761, 11, 20, 467, 329, 3, 4, 37, 25, 233, 5, 4, 292, 465, 162, 94, 539, 195, 485, 3, 405, 318, 7, 34, 2, 32, 39, 8, 387, 241]",1.0
58,"[37, 19, 14]","[765, 3, 515, 155, 694, 237, 40, 144, 4, 388, 1081, 135, 40, 59, 4, 430, 217, 3, 975, 1031, 70, 235, 532, 194, 8, 1149]",1.0
59,"[37, 19, 14]","[6, 415, 129, 40, 15, 450, 521, 10, 119, 469, 302, 13, 6, 57, 129, 40, 17, 4, 236, 166, 5, 4, 270, 306, 3, 369, 505, 318, 1, 40, 59, 482, 22, 1, 25, 166, 3, 1, 76, 36, 44, 365, 5, 4, 228, 288, 225, 1, 37, 285, 15, 396, 468, 6, 40, 15, 530, 12, 4, 303, 500, 473, 370, 15, 280, 10, 47, 242, 6, 425, 8, 1, 484, 13, 167, 478]",1.0
60,"[96, 14]","[29, 2, 154, 158, 28, 5, 6, 383, 49, 57, 89, 128, 105, 34, 93, 193, 148, 146, 200, 22, 1, 308, 8, 6, 71, 38, 137, 17, 4, 154, 158, 104, 136, 9, 1, 25, 60, 186, 118, 309, 154, 158, 11, 48, 7, 2, 326, 178, 5, 6, 38]",1.0
61,"[96, 14]","[29, 2, 32, 449, 204, 243, 189, 126, 28, 5, 6, 1123, 62, 23, 190, 21, 86, 142, 4, 588, 8, 6, 62, 235, 122, 3, 42, 35, 190, 736, 12, 1, 204, 243, 189, 126, 661, 660, 32, 1, 56, 204, 243, 189, 126, 20, 9, 1, 25, 13, 1, 122, 3, 9, 1, 98, 134, 13, 1, 42, 420, 219, 223, 36, 277, 11, 48, 21, 1056, 5, 277]",1.0
62,"[96, 14]","[998, 619, 1047, 877, 1144, 869, 128, 215, 57, 89, 105, 6, 248, 973, 131, 57, 89, 78, 17, 4, 817, 1064, 18, 924, 499]",1.0
63,"[96, 14]","[29, 2, 263, 264, 232, 293, 28, 5, 6, 383, 49, 57, 89, 128, 105, 34, 93, 193, 148, 146, 200, 22, 1, 308, 8, 6, 71, 38, 137, 17, 4, 263, 264, 232, 293, 104, 136, 9, 1, 25, 60, 186, 118, 309, 263, 264, 232, 293, 11, 48, 7, 2, 326, 178, 5, 6, 38]",1.0
64,"[96, 14]","[50, 9, 2, 99, 284, 55, 327, 8, 1, 244, 18, 57, 89, 105, 26, 15, 65, 12, 332, 2, 99, 284, 55, 327, 9, 148, 146, 307, 6, 78, 17, 1, 92, 3, 18, 13, 1, 284, 55, 327]",1.0
65,"[96, 14]","[50, 9, 2, 99, 267, 266, 8, 1, 244, 18, 57, 89, 105, 26, 15, 65, 12, 332, 2, 99, 267, 266, 9, 148, 146, 307, 6, 78, 17, 1, 92, 3, 18, 13, 1, 267, 266]",1.0
66,"[96, 14]","[29, 2, 52, 80, 28, 5, 6, 383, 49, 57, 89, 128, 105, 34, 93, 193, 148, 146, 200, 22, 1, 308, 8, 6, 71, 38, 137, 17, 4, 52, 80, 104, 136, 9, 1, 25, 60, 186, 118, 309, 52, 80, 11, 48, 7, 2, 326, 178, 5, 6, 38]",1.0
67,"[96, 14]","[50, 9, 2, 179, 55, 185, 8, 6, 1011, 64, 1, 341, 156, 8, 6, 345, 21, 168, 34, 10, 93, 151, 1, 403, 686, 7, 68, 43, 218, 7, 1, 45, 8, 63, 214, 6, 100, 64, 5, 56, 179, 55, 185, 20, 523, 1, 60]",1.0
68,"[96, 14]","[29, 2, 361, 380, 28, 5, 6, 1152, 1046, 62, 345, 64, 24, 100, 5, 162, 175, 361, 380, 20, 110, 58, 108, 7, 455, 148, 146, 649, 54, 84, 2, 11, 48, 6, 68, 361, 380, 64, 94, 17, 341, 131, 156, 7, 168, 34, 10, 93, 3, 1076]",1.0
69,"[96, 14]","[29, 2, 347, 206, 11, 28, 5, 6, 580, 1, 1006, 128, 51, 2, 139, 12, 1, 1105, 9, 1, 347, 206, 11, 6, 294, 5, 31, 549, 920, 768, 128, 53, 1, 452, 78, 17, 31, 656, 347, 206, 1085, 234, 36, 110, 373, 5, 41]",1.0
70,"[33, 90, 83]","[2, 32, 39, 21, 58, 84, 43, 112, 743, 977, 48, 5, 6, 742, 38, 3, 95, 23, 1, 78, 17, 4, 68, 771, 234, 54, 1, 95, 1127, 627, 483]",1.0
71,"[33, 90, 83]","[1016, 27, 562, 23]",1.0
72,"[33, 90, 83]","[29, 2, 837, 69, 115, 183, 28, 5, 6, 576, 105, 3, 124, 23, 2, 591, 15, 159, 35, 535, 13, 4, 69, 115, 183, 442, 35, 10, 44, 74, 114, 529, 51, 26, 8, 6, 192, 456, 23, 36, 349, 46, 838, 139, 26, 1126, 39, 71, 507, 654, 105, 3, 4, 446, 13, 68, 1021, 42, 133, 796, 8, 957, 69, 115, 183, 20, 3, 160, 12, 31, 448, 1032, 108, 86]",1.0
73,"[33, 90, 83]","[85, 2, 32, 913, 46, 994, 30, 12, 118, 903, 454, 8, 6, 1028, 392, 122, 3, 95, 23, 24, 100, 144, 31, 27, 18]",1.0
74,"[33, 90, 83]","[944, 285, 17, 4, 369, 615, 22, 1, 25, 7, 61, 4, 388, 63, 728, 235, 942, 556, 700, 24, 107, 7, 135, 3, 247, 107, 741, 501, 630, 434, 229, 999, 819, 213, 194, 8, 1, 331]",1.0
75,"[33, 90, 83]","[1, 1136, 23, 15, 39, 13, 167, 798, 12, 2, 32, 39, 287, 251, 7, 417, 1, 290, 311, 24, 1, 608, 1148, 3, 730, 397, 515, 419, 384, 384]",1.0
76,"[33, 90, 83]","[946, 1065, 1111, 23, 15, 4, 797, 566, 23, 12, 471, 5, 1019, 3, 426, 26, 15, 4, 603, 23, 5, 4, 93, 62, 53, 9, 1, 42, 36, 94, 949, 471, 1132, 546, 1007]",1.0
77,"[33, 90, 83]","[5, 1120, 142, 10, 2, 32, 487, 15, 647, 7, 58, 815, 5, 1, 804, 13, 716, 190, 1063, 10, 9, 4, 884, 589, 190, 1052, 1139, 58, 707, 13, 1, 559, 846, 841, 54, 10, 896, 948, 36, 49, 39, 855, 10, 223, 12, 88, 15, 36, 436, 58, 4, 52, 682, 85, 277, 9, 1, 422, 851, 669, 5, 6, 492, 821, 201, 251, 1, 573, 38, 59, 31, 27, 80, 18, 9, 1, 60, 3, 4, 173, 268, 225, 9, 1, 474, 3, 135, 1, 42, 130, 1, 552, 27, 18, 22, 1, 439, 13, 1, 98, 134, 3, 268, 225, 22, 1, 135, 159, 625, 542, 2, 487, 1122, 8, 52, 488, 21, 210, 1089, 7, 850, 908, 193, 447, 294, 8, 1, 253]",1.0
78,"[33, 90, 83]","[805, 27, 444, 23]",1.0
79,"[33, 90, 83]","[449, 27, 444, 23]",1.0
80,[87],"[29, 2, 344, 376, 261, 249, 28, 5, 6, 1114, 106, 38, 24, 100, 1, 25, 60, 15, 524, 49, 8, 344, 376, 261, 249, 20, 3, 1, 1082, 100, 18, 620, 7, 1, 45, 8, 230, 344, 376, 261, 249, 63, 35, 10, 50, 504, 9, 7, 674, 443, 196, 8, 6, 71, 38]",1.0
81,[87],"[733, 729, 8, 1, 557, 298, 13, 640, 905, 54, 1079, 2, 197, 12, 331, 394, 8, 6, 793, 38, 144, 202, 1061, 11, 1029, 5, 4, 331, 394, 676, 18, 250, 610, 702, 20, 6, 38, 1080, 2, 11, 48, 21, 876, 842, 13, 1, 375]",1.0
